datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,9879.540,True
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9549.307,True
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,9346.150,True
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,9220.223,True
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,9176.113,True
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,9208.495,True
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,9464.232,True
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,9730.646,True
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,9982.407,True
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,10302.160,True
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,10550.892,True
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,10718.835,True
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,10730.246,True
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,10672.032,True
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,10633.466,True
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,10651.528,True
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,10867.058,True
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,11504.563,True
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,11549.270,True
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,11356.770,True
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,11110.128,True
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,10805.421,True
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,10375.290,True
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,9890.367,True
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,9500.860,True
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9116.764,True
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,8930.602,True
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,8823.064,True
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,8868.556,True
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,8948.658,True
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,9205.891,True
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,9484.408,True
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,9880.075,True
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,10334.617,True
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,10583.699,True
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,10764.570,True
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,10856.578,True
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,10886.017,True
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,10833.582,True
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,10936.194,True
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,11218.664,True
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,11853.486,True
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,11863.574,True
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,11679.812,True
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,11361.755,True
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,11030.733,True
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,10624.860,True
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,10117.817,True
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,9854.859,True
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9780.302,True
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,9843.275,True
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,10069.154,True
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,10632.575,True
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,11500.786,True
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,12554.714,True
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,13543.335,True
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,14234.078,True
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,14392.347,True
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,14525.636,True
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,14569.422,True
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,14507.597,True
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,14540.499,True
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,14492.300,True
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,14387.230,True
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,14788.768,True
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,15908.676,True
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,16061.718,True
1/4/2022 12:00:00 AM,1/3/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,15880.814,True
1/4/2022 1:00:00 AM,1/3/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,15645.023,True
1/4/2022 2:00:00 AM,1/3/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,15276.015,True
1/4/2022 3:00:00 AM,1/3/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,14792.315,True
1/4/2022 4:00:00 AM,1/3/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,14341.745,True
1/4/2022 5:00:00 AM,1/4/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,14046.433,True
1/4/2022 6:00:00 AM,1/4/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,14066.492,True
1/4/2022 7:00:00 AM,1/4/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,14134.415,True
1/4/2022 8:00:00 AM,1/4/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,14363.877,True
1/4/2022 9:00:00 AM,1/4/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,14817.115,True
1/4/2022 10:00:00 AM,1/4/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,15440.481,True
1/4/2022 11:00:00 AM,1/4/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,16199.611,True
1/4/2022 12:00:00 PM,1/4/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,16657.855,True
1/4/2022 1:00:00 PM,1/4/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,16508.509,True
1/4/2022 2:00:00 PM,1/4/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,15556.702,True
1/4/2022 3:00:00 PM,1/4/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,14752.627,True
1/4/2022 4:00:00 PM,1/4/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,14167.606,True
1/4/2022 5:00:00 PM,1/4/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,13831.440,True
1/4/2022 6:00:00 PM,1/4/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,13418.800,True
1/4/2022 7:00:00 PM,1/4/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,13254.046,True
1/4/2022 8:00:00 PM,1/4/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,13436.999,True
1/4/2022 9:00:00 PM,1/4/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,14282.056,True
1/4/2022 10:00:00 PM,1/4/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,15564.768,True
1/4/2022 11:00:00 PM,1/4/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,15979.154,True
1/5/2022 12:00:00 AM,1/4/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,16025.626,True
1/5/2022 1:00:00 AM,1/4/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,15869.562,True
1/5/2022 2:00:00 AM,1/4/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,15527.486,True
1/5/2022 3:00:00 AM,1/4/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,14906.903,True
1/5/2022 4:00:00 AM,1/4/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,14388.014,True
1/5/2022 5:00:00 AM,1/5/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,14074.297,True
1/5/2022 6:00:00 AM,1/5/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,13757.566,True
1/5/2022 7:00:00 AM,1/5/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,13588.311,True
1/5/2022 8:00:00 AM,1/5/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,13591.633,True
1/5/2022 9:00:00 AM,1/5/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,13821.679,True
1/5/2022 10:00:00 AM,1/5/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,14317.093,True
1/5/2022 11:00:00 AM,1/5/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,14987.124,True
1/5/2022 12:00:00 PM,1/5/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,15383.204,True
1/5/2022 1:00:00 PM,1/5/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,15347.698,True
1/5/2022 2:00:00 PM,1/5/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,15187.030,True
1/5/2022 3:00:00 PM,1/5/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,14784.661,True
1/5/2022 4:00:00 PM,1/5/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,14368.580,True
1/5/2022 5:00:00 PM,1/5/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,14245.895,True
1/5/2022 6:00:00 PM,1/5/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,14082.436,True
1/5/2022 7:00:00 PM,1/5/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,13844.149,True
1/5/2022 8:00:00 PM,1/5/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,13811.007,True
1/5/2022 9:00:00 PM,1/5/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,14038.287,True
1/5/2022 10:00:00 PM,1/5/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,14750.091,True
1/5/2022 11:00:00 PM,1/5/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,14753.919,True
1/6/2022 12:00:00 AM,1/5/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,14492.776,True
1/6/2022 1:00:00 AM,1/5/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,14124.018,True
1/6/2022 2:00:00 AM,1/5/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,13718.468,True
1/6/2022 3:00:00 AM,1/5/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,12920.488,True
1/6/2022 4:00:00 AM,1/5/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,12344.820,True
1/6/2022 5:00:00 AM,1/6/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,11926.161,True
1/6/2022 6:00:00 AM,1/6/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,11784.811,True
1/6/2022 7:00:00 AM,1/6/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,11800.833,True
1/6/2022 8:00:00 AM,1/6/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,11914.801,True
1/6/2022 9:00:00 AM,1/6/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,12318.096,True
1/6/2022 10:00:00 AM,1/6/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,13047.814,True
1/6/2022 11:00:00 AM,1/6/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,14040.377,True
1/6/2022 12:00:00 PM,1/6/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,14619.372,True
1/6/2022 1:00:00 PM,1/6/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,14585.168,True
1/6/2022 2:00:00 PM,1/6/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,13968.284,True
1/6/2022 3:00:00 PM,1/6/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,13448.167,True
1/6/2022 4:00:00 PM,1/6/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,12924.232,True
1/6/2022 5:00:00 PM,1/6/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,12493.066,True
1/6/2022 6:00:00 PM,1/6/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,12277.939,True
1/6/2022 7:00:00 PM,1/6/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,12308.057,True
1/6/2022 8:00:00 PM,1/6/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,12603.269,True
1/6/2022 9:00:00 PM,1/6/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,13245.617,True
1/6/2022 10:00:00 PM,1/6/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,14187.824,True
1/6/2022 11:00:00 PM,1/6/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,14360.223,True
1/7/2022 12:00:00 AM,1/6/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,14181.244,True
1/7/2022 1:00:00 AM,1/6/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,13926.065,True
1/7/2022 2:00:00 AM,1/6/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,13551.218,True
1/7/2022 3:00:00 AM,1/6/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,12965.964,True
1/7/2022 4:00:00 AM,1/6/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,12512.795,True
1/7/2022 5:00:00 AM,1/7/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,12158.619,True
1/7/2022 6:00:00 AM,1/7/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,12137.903,True
1/7/2022 7:00:00 AM,1/7/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,12267.466,True
1/7/2022 8:00:00 AM,1/7/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,12582.727,True
1/7/2022 9:00:00 AM,1/7/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,13112.182,True
1/7/2022 10:00:00 AM,1/7/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,13912.088,True
1/7/2022 11:00:00 AM,1/7/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,14909.051,True
1/7/2022 12:00:00 PM,1/7/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,15633.805,True
1/7/2022 1:00:00 PM,1/7/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,15659.189,True
1/7/2022 2:00:00 PM,1/7/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,15311.763,True
1/7/2022 3:00:00 PM,1/7/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,15086.971,True
1/7/2022 4:00:00 PM,1/7/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,14884.924,True
1/7/2022 5:00:00 PM,1/7/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,14549.494,True
1/7/2022 6:00:00 PM,1/7/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,14264.335,True
1/7/2022 7:00:00 PM,1/7/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,14143.827,True
1/7/2022 8:00:00 PM,1/7/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,14347.980,True
1/7/2022 9:00:00 PM,1/7/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,15266.123,True
1/7/2022 10:00:00 PM,1/7/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,16557.231,True
1/7/2022 11:00:00 PM,1/7/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,16795.892,True
1/8/2022 12:00:00 AM,1/7/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,16743.221,True
1/8/2022 1:00:00 AM,1/7/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,16679.017,True
1/8/2022 2:00:00 AM,1/7/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,16453.427,True
1/8/2022 3:00:00 AM,1/7/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,16029.278,True
1/8/2022 4:00:00 AM,1/7/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,15692.823,True
1/8/2022 5:00:00 AM,1/8/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,15508.238,True
1/8/2022 6:00:00 AM,1/8/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,15484.181,True
1/8/2022 7:00:00 AM,1/8/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,15574.951,True
1/8/2022 8:00:00 AM,1/8/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,15774.972,True
1/8/2022 9:00:00 AM,1/8/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,16051.425,True
1/8/2022 10:00:00 AM,1/8/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,16465.378,True
1/8/2022 11:00:00 AM,1/8/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,17001.133,True
1/8/2022 12:00:00 PM,1/8/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,17497.660,True
1/8/2022 1:00:00 PM,1/8/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,17293.954,True
1/8/2022 2:00:00 PM,1/8/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,16425.445,True
1/8/2022 3:00:00 PM,1/8/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,15661.092,True
1/8/2022 4:00:00 PM,1/8/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,15028.462,True
1/8/2022 5:00:00 PM,1/8/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,14325.597,True
1/8/2022 6:00:00 PM,1/8/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,13878.116,True
1/8/2022 7:00:00 PM,1/8/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,13591.896,True
1/8/2022 8:00:00 PM,1/8/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,13673.656,True
1/8/2022 9:00:00 PM,1/8/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,14478.089,True
1/8/2022 10:00:00 PM,1/8/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,15665.323,True
1/8/2022 11:00:00 PM,1/8/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,16124.537,True
1/9/2022 12:00:00 AM,1/8/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,16138.248,True
1/9/2022 1:00:00 AM,1/8/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,16090.269,True
1/9/2022 2:00:00 AM,1/8/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,15879.947,True
1/9/2022 3:00:00 AM,1/8/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,15374.810,True
1/9/2022 4:00:00 AM,1/8/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,15032.518,True
1/9/2022 5:00:00 AM,1/9/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,14720.245,True
1/9/2022 6:00:00 AM,1/9/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,14483.442,True
1/9/2022 7:00:00 AM,1/9/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,14450.006,True
1/9/2022 8:00:00 AM,1/9/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,14418.204,True
1/9/2022 9:00:00 AM,1/9/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,14274.832,True
1/9/2022 10:00:00 AM,1/9/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,14196.989,True
1/9/2022 11:00:00 AM,1/9/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,14459.674,True
1/9/2022 12:00:00 PM,1/9/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,14448.000,True
1/9/2022 1:00:00 PM,1/9/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,14476.873,True
1/9/2022 2:00:00 PM,1/9/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,14338.632,True
1/9/2022 3:00:00 PM,1/9/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,13995.970,True
1/9/2022 4:00:00 PM,1/9/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,13648.017,True
1/9/2022 5:00:00 PM,1/9/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,13503.672,True
1/9/2022 6:00:00 PM,1/9/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,13264.318,True
1/9/2022 7:00:00 PM,1/9/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,12984.038,True
1/9/2022 8:00:00 PM,1/9/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,12886.720,True
1/9/2022 9:00:00 PM,1/9/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,13136.356,True
1/9/2022 10:00:00 PM,1/9/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,13707.202,True
1/9/2022 11:00:00 PM,1/9/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,13701.971,True
1/10/2022 12:00:00 AM,1/9/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,13390.338,True
1/10/2022 1:00:00 AM,1/9/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,13058.667,True
1/10/2022 2:00:00 AM,1/9/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,12520.440,True
1/10/2022 3:00:00 AM,1/9/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,11869.092,True
1/10/2022 4:00:00 AM,1/9/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,11353.172,True
1/10/2022 5:00:00 AM,1/10/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,11070.157,True
1/10/2022 6:00:00 AM,1/10/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,10934.017,True
1/10/2022 7:00:00 AM,1/10/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,11084.021,True
1/10/2022 8:00:00 AM,1/10/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,11381.382,True
1/10/2022 9:00:00 AM,1/10/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,11945.941,True
1/10/2022 10:00:00 AM,1/10/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,12916.152,True
1/10/2022 11:00:00 AM,1/10/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,14237.371,True
1/10/2022 12:00:00 PM,1/10/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,15161.448,True
1/10/2022 1:00:00 PM,1/10/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,15310.799,True
1/10/2022 2:00:00 PM,1/10/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,14844.596,True
1/10/2022 3:00:00 PM,1/10/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,14154.158,True
1/10/2022 4:00:00 PM,1/10/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,13770.073,True
1/10/2022 5:00:00 PM,1/10/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,13461.460,True
1/10/2022 6:00:00 PM,1/10/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,13284.943,True
1/10/2022 7:00:00 PM,1/10/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,13040.117,True
1/10/2022 8:00:00 PM,1/10/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,13275.264,True
1/10/2022 9:00:00 PM,1/10/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,14103.545,True
1/10/2022 10:00:00 PM,1/10/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,15347.512,True
1/10/2022 11:00:00 PM,1/10/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,15714.756,True
1/11/2022 12:00:00 AM,1/10/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,15881.305,True
1/11/2022 1:00:00 AM,1/10/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,15771.384,True
1/11/2022 2:00:00 AM,1/10/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,15453.842,True
1/11/2022 3:00:00 AM,1/10/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,14956.483,True
1/11/2022 4:00:00 AM,1/10/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,14538.283,True
1/11/2022 5:00:00 AM,1/11/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,14401.078,True
1/11/2022 6:00:00 AM,1/11/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,14356.700,True
1/11/2022 7:00:00 AM,1/11/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,14536.328,True
1/11/2022 8:00:00 AM,1/11/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,14874.706,True
