datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10685.589,True
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10490.382,True
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,10334.777,True
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,10256.475,True
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,10286.652,True
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,10483.567,True
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,10807.009,True
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,11096.281,True
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,11306.924,True
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,11187.865,True
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,10862.147,True
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,10805.826,True
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,10773.408,True
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,10728.250,True
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,10655.092,True
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,10854.240,True
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,11387.232,True
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,12120.748,True
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,12283.586,True
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,12237.097,True
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,12100.915,True
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,11852.534,True
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,11547.128,True
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,11181.717,True
1/2/2023 5:00:00 AM,1/2/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10917.714,True
1/2/2023 6:00:00 AM,1/2/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10731.625,True
1/2/2023 7:00:00 AM,1/2/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,10668.020,True
1/2/2023 8:00:00 AM,1/2/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,10740.154,True
1/2/2023 9:00:00 AM,1/2/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,10956.528,True
1/2/2023 10:00:00 AM,1/2/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,11382.499,True
1/2/2023 11:00:00 AM,1/2/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,11992.477,True
1/2/2023 12:00:00 PM,1/2/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,12432.738,True
1/2/2023 1:00:00 PM,1/2/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,12465.878,True
1/2/2023 2:00:00 PM,1/2/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,12092.207,True
1/2/2023 3:00:00 PM,1/2/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,11756.014,True
1/2/2023 4:00:00 PM,1/2/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,11611.414,True
1/2/2023 5:00:00 PM,1/2/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,11532.165,True
1/2/2023 6:00:00 PM,1/2/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,11437.098,True
1/2/2023 7:00:00 PM,1/2/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,11437.925,True
1/2/2023 8:00:00 PM,1/2/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,11653.793,True
1/2/2023 9:00:00 PM,1/2/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,12042.694,True
1/2/2023 10:00:00 PM,1/2/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,12843.712,True
1/2/2023 11:00:00 PM,1/2/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,12942.546,True
1/3/2023 12:00:00 AM,1/2/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,12811.557,True
1/3/2023 1:00:00 AM,1/2/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,12524.304,True
1/3/2023 2:00:00 AM,1/2/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,12062.758,True
1/3/2023 3:00:00 AM,1/2/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,11502.528,True
1/3/2023 4:00:00 AM,1/2/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,10966.798,True
1/3/2023 5:00:00 AM,1/3/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10589.586,True
1/3/2023 6:00:00 AM,1/3/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10347.608,True
1/3/2023 7:00:00 AM,1/3/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,10266.628,True
1/3/2023 8:00:00 AM,1/3/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,10280.839,True
1/3/2023 9:00:00 AM,1/3/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,10555.716,True
1/3/2023 10:00:00 AM,1/3/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,11156.052,True
1/3/2023 11:00:00 AM,1/3/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,12092.093,True
1/3/2023 12:00:00 PM,1/3/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,12608.736,True
1/3/2023 1:00:00 PM,1/3/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,12549.971,True
1/3/2023 2:00:00 PM,1/3/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,12445.332,True
1/3/2023 3:00:00 PM,1/3/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,12323.117,True
1/3/2023 4:00:00 PM,1/3/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,12182.702,True
1/3/2023 5:00:00 PM,1/3/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,12063.421,True
1/3/2023 6:00:00 PM,1/3/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,11989.141,True
1/3/2023 7:00:00 PM,1/3/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,11901.439,True
1/3/2023 8:00:00 PM,1/3/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,12007.624,True
1/3/2023 9:00:00 PM,1/3/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,12342.117,True
1/3/2023 10:00:00 PM,1/3/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,13044.888,True
1/3/2023 11:00:00 PM,1/3/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,13115.314,True
1/4/2023 12:00:00 AM,1/3/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,12849.271,True
1/4/2023 1:00:00 AM,1/3/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,12565.220,True
1/4/2023 2:00:00 AM,1/3/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,12021.152,True
1/4/2023 3:00:00 AM,1/3/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,11409.749,True
1/4/2023 4:00:00 AM,1/3/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,10783.546,True
1/4/2023 5:00:00 AM,1/4/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10323.162,True
1/4/2023 6:00:00 AM,1/4/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10016.431,True
1/4/2023 7:00:00 AM,1/4/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,9882.619,True
1/4/2023 8:00:00 AM,1/4/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,9822.890,True
1/4/2023 9:00:00 AM,1/4/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,10042.894,True
1/4/2023 10:00:00 AM,1/4/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,10585.117,True
1/4/2023 11:00:00 AM,1/4/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,11480.214,True
1/4/2023 12:00:00 PM,1/4/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,12081.557,True
1/4/2023 1:00:00 PM,1/4/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,12177.737,True
1/4/2023 2:00:00 PM,1/4/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,12243.940,True
1/4/2023 3:00:00 PM,1/4/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,12265.130,True
1/4/2023 4:00:00 PM,1/4/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,12192.990,True
1/4/2023 5:00:00 PM,1/4/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,12153.827,True
1/4/2023 6:00:00 PM,1/4/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,12264.875,True
1/4/2023 7:00:00 PM,1/4/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,12276.848,True
1/4/2023 8:00:00 PM,1/4/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,12295.663,True
1/4/2023 9:00:00 PM,1/4/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,12489.888,True
1/4/2023 10:00:00 PM,1/4/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,13023.755,True
1/4/2023 11:00:00 PM,1/4/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,13090.094,True
1/5/2023 12:00:00 AM,1/4/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,12907.734,True
1/5/2023 1:00:00 AM,1/4/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,12588.907,True
1/5/2023 2:00:00 AM,1/4/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,12120.429,True
1/5/2023 3:00:00 AM,1/4/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,11472.437,True
1/5/2023 4:00:00 AM,1/4/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,10859.481,True
1/5/2023 5:00:00 AM,1/5/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10412.913,True
