datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,SERC,SOUTH,DOM,DOM,13553.438,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,SERC,SOUTH,DOM,DOM,13455.698,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,SERC,SOUTH,DOM,DOM,13325.136,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,SERC,SOUTH,DOM,DOM,13302.830,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,SERC,SOUTH,DOM,DOM,13453.881,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,SERC,SOUTH,DOM,DOM,13729.760,True
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,SERC,SOUTH,DOM,DOM,14038.309,True
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,SERC,SOUTH,DOM,DOM,14243.496,True
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,SERC,SOUTH,DOM,DOM,14301.120,True
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,SERC,SOUTH,DOM,DOM,14225.585,True
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,SERC,SOUTH,DOM,DOM,14154.200,True
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,SERC,SOUTH,DOM,DOM,14146.338,True
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,SERC,SOUTH,DOM,DOM,14126.998,True
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,SERC,SOUTH,DOM,DOM,14130.245,True
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,SERC,SOUTH,DOM,DOM,14175.814,True
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,SERC,SOUTH,DOM,DOM,14425.343,True
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,SERC,SOUTH,DOM,DOM,14959.991,True
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,SERC,SOUTH,DOM,DOM,15576.219,True
